instrument_id,maker_id,type,make_date,year_sale,house_sale,info,auction_catalog_date,auction_catalog_house,notes,stick_length_without,stick_length_with,condition,material_grade,maker_name,authentication_score,weight,stick_shape
100614,647,Violin Bow,,2022,Tarisio,"Faintly stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 72.9 / 74.4 cm | Weight: 62.0 grams",,,,72.9,74.4,0,1.0,"Sartory, Eugène Nicolas",2,62.0,round
104405,647,Violin Bow,,2022,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: Length of stick without button: 73.1 cm Length of stick with button: 74.5 cm | Weight: 62.5 grams",,,,73.1,74.5,0,1.0,"Sartory, Eugène Nicolas",3,62.5,round
102213,647,Violin Bow,,2022,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 73.0 / 74.5 cm | Weight: 64.0 grams",,,,73.0,74.5,0,1.0,"Sartory, Eugène Nicolas",3,64.0,round
100620,647,Violin Bow,,2022,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 73.1 / 74.5 cm | Weight: 56.5 grams",,,,73.1,74.5,0,1.0,"Sartory, Eugène Nicolas",3,56.5,round
106136,647,Violin Bow,,2024,Tarisio,"Faintly stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. The button not original. | Stick: 72.7/74.2 cm | Weight: 60.0 grams",,,,72.7,74.2,1,1.0,"Sartory, Eugène Nicolas",2,60.0,round
117368,647,Violin Bow,,2023,Tarisio,"Faintly stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 73.0 / 74.4 cm | Weight: 58.5 grams",,,,73.0,74.4,0,1.0,"Sartory, Eugène Nicolas",2,58.5,round
107438,647,Violin Bow,,2023,Tarisio,"Stamped, ""E. Sartory à Paris."" | Octagonal stick. Silver mounted. | Stick: 73.1/74.6cm | Weight: 54.0 grams with original tinsel lapping",,,,73.1,74.6,0,1.1,"Sartory, Eugène Nicolas",3,54.0,octagonal
117389,647,Violin Bow,,2024,T2 Auctions,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: Length of stick with button: 74.2 cm Length of stick without button: 72.8 cm | Weight: 51.5 grams (without hair or lapping)",,,,72.8,74.2,0,1.0,"Sartory, Eugène Nicolas",3,51.5,round
119475,647,Violin Bow,,2024,Tarisio,Unstamped. | Round stick. Silver mounted. | Stick: Length of stick with button: 74.2 cm Length of stick without button: 72.7 cm | Weight: 57.0 grams,,,,72.7,74.2,0,1.0,"Sartory, Eugène Nicolas",0,57.0,round
119769,647,Violin Bow,,2024,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: Length of stick with button: 74.4 cm Length of stick without button: 73.0 cm | Weight: 63.0 grams",,,,73.0,74.4,0,1.0,"Sartory, Eugène Nicolas",3,63.0,round
