maker_id,maker_name,type,city_maker,auction_house,sale_date,lot,usd,gbp,eur,bold_currency,instrument_id,stick_length_without_x,stick_length_with_x,condition_x,material_grade_x,weight_x,stick_shape_x,stick_length_without_y,stick_length_with_y,condition_y,material_grade_y,weight_y,stick_shape_y,make_date
2003,"Guillaume, Pierre",Cello Bow,Brussels,Tarisio,2005-05-12,378,690.0,370.0,540.0,usd,7464,,,0,0.0,81.0,,,,0,0.0,81.0,,
15636,"Guillaume, Simon",Violin Bow,,Tarisio,2022-04-26,71,4483.0,3534.0,4200.0,eur,100881,72.7,74.2,0,1.0,62.5,octagonal,72.7,74.2,0,1.0,62.5,octagonal,
248,"Guinot, Charles Joseph Théodore",Violin Bow,,Tarisio,2018-02-22,76,2360.0,1694.0,1914.0,usd,83090,,,0,0.0,58.5,round,,,0,0.0,58.5,round,
248,"Guinot, Charles Joseph Théodore",Viola Bow,,Tarisio,2017-02-24,27,4720.0,3772.0,4465.0,usd,76914,,,0,0.0,67.0,round,,,0,0.0,67.0,round,
248,"Guinot, Charles Joseph Théodore",Violin Bow,,Tarisio,2017-02-24,92,2596.0,2075.0,2456.0,usd,76915,,,0,0.0,61.0,round,,,0,0.0,61.0,round,
248,"Guinot, Charles Joseph Théodore",Cello Bow,Mirecourt,Tarisio,2011-11-11,22,3800.0,2385.0,2784.0,usd,25012,,,0,0.15,80.5,,,,0,0.15,80.5,,
15313,"Guthrie, Lee",Violin Bow,,Tarisio,2018-11-08,119,2950.0,2252.0,2579.0,usd,85282,,,0,1.0,61.0,round,,,0,1.0,61.0,round,
7257,"Gütter, Fritz",Violin Bow,,Tarisio,2018-10-29,57,680.0,531.0,598.0,gbp,84935,,,0,1.0,58.5,octagonal,,,0,1.0,58.5,octagonal,
15708,"Hakoune, Wilfred",Violin Bow,,Tarisio,2022-10-25,82,2117.0,1843.0,2124.0,eur,102656,72.9,74.2,0,2.0,55.5,octagonal,72.9,74.2,0,2.0,55.5,octagonal,
15715,"Halligan, Joseph",Violin Bow,,Tarisio,2022-11-18,52,2160.0,1817.0,2090.0,usd,103773,,,0,1.0,62.5,round,,,0,1.0,62.5,round,
