instrument_id,maker_id,type,make_date,year_sale,house_sale,info,auction_catalog_date,auction_catalog_house,notes,condition,length_of_back,upper_bouts,middle_bouts,lower_bouts,maker_name,authentication_score
3228,554,Violin,1934.0,2002,Tarisio,"Bearing the maker's original label. The bridge stamped, ""A. Poggi."" | A small crack to the volute, otherwise mint condition. | Length of back: 35.5 cm","June 6, 2002",Tarisio,,1.0,35.5,,,,"Poggi, Ansaldo",4
52935,554,Cello,1931.0,1999,Christie's,"Labeled, ""Ansaldo Poggi 1931"" and branded ""A. Poggi"" on the bottom rib. | Length of back: 74.9 cm","March 17, 1999",Christie's,,,74.9,,,,"Poggi, Ansaldo",4
52949,554,Violin,1931.0,1996 ; 1998,Sotheby's ; Sotheby's,"Labeled, ""Ansaldo Poggi da Villa Fontana allievo di G. Fiorini fece in Bologna Anno 1931"" and stamped above the tailpin ""A. Poggi."" | Length of back: 35.6 cm","June 16, 1998; March 19, 1996",Sotheby's; Sotheby's,,,35.6,,,,"Poggi, Ansaldo",4
52950,554,Cello,1933.0,1998,Sotheby's,"Labeled, ""Ansaldo Poggi da Villa Fontana, Allievo di G. Fiorini, fece in Bologna anno 1933"" and ""Repararet of forgen Nielsen Violinbygger K0benhavn 1983"" and stamped ""A. Poggi"" by the tailpin. | Length of back: 74.9 cm","October 23, 1997",Sotheby's,,,74.9,,,,"Poggi, Ansaldo",4
52947,554,Violin,1914.0,1989,Sotheby's,"Labeled, ""Ansaldo Poggi, allievo di G. Fiorini, fece in Bologna anno 1914."" | Length of back: 35.6 cm","November 22-23, 1989",Sotheby's,,,35.6,,,,"Poggi, Ansaldo",3
52932,554,Viola,1928.0,1987,Christie's,"Labeled, ""Ansaldo Poggi . . . Allievo di G. Fiorini I Fece in Bologna Anno 1928."" | Length of back: 39.8 cm","March 29, 1980",Christie's,,,39.8,,,,"Poggi, Ansaldo",3
95169,555,Violin,1907.0,2021,Tarisio,"Labeled, ""Lyon 1907, no 253, Elophe Poirsons."" | Branded twice to the lower rib, ""Elophe Poirsons."" | Length of back: 35.9 cm",,,,,35.9,,,,"Poirson, Elophe",4
78933,555,Violin,1902.0,2017,Tarisio,"Labeled, ""Lyon 1902, no 198, Elophe Poirson."" | Inscribed to the inside back, ""Lyon, 4 juin 1902, E. Poirson."" Rosewood pegs and button. | Length of back: 35.8 cm | Upper bouts: 16.6 cm | Middle bouts: 10.9 cm | Lower bouts: 20.3 cm",,,,,35.8,16.6,10.9,20.3,"Poirson, Elophe",3
66225,555,Violin,1895.0,2014,Tarisio,"Labeled, ""Elophe Poirson, Lyon 1895, No. 130."" | Length of back: 35.6 cm",,,,,35.6,,,,"Poirson, Elophe",3
12237,555,Violin,1896.0,2007,Tarisio,Bearing the maker's signed label. | Length of back: 35.9 cm,,,,,35.9,,,,"Poirson, Elophe",4
