iter	Passed	Remaining
1377	50732	22899
1378	50760	22858
1379	50792	22819
1380	50822	22779
1381	50849	22738
1382	50880	22699
1383	50910	22659
1384	50938	22618
1385	50965	22577
1386	50992	22536
1387	51019	22495
1388	51047	22454
1389	51075	22414
1390	51103	22373
1391	51139	22336
1392	51167	22296
1393	51195	22255
1394	51223	22215
1395	51250	22174
1396	51281	22135
1397	51309	22094
1398	51335	22053
1399	51362	22012
1400	51390	21972
1401	51419	21932
1402	51447	21891
1403	51482	21854
1404	51524	21820
1405	51558	21782
1406	51588	21742
1407	51616	21702
1408	51644	21661
1409	51674	21622
1410	51702	21582
1411	51730	21542
1412	51757	21501
1413	51785	21461
1414	51811	21420
1415	51837	21379
1416	51865	21338
1417	51892	21298
1418	51920	21258
1419	51947	21217
1420	51984	21181
1421	52028	21148
1422	52068	21112
1423	52109	21077
1424	52151	21043
1425	52201	21012
1426	52248	20979
1427	52298	20948
1428	52335	20912
1429	52381	20879
1430	52421	20844
1431	52466	20810
1432	52515	20778
1433	52551	20742
1434	52598	20709
1435	52633	20672
1436	52679	20639
1437	52716	20602
1438	52749	20564
1439	52793	20530
1440	52830	20494
1441	52868	20458
1442	52907	20422
1443	52940	20384
1444	52991	20353
1445	53028	20316
1446	53075	20283
1447	53115	20248
1448	53158	20214
1449	53190	20175
1450	53226	20138
1451	53267	20103
1452	53300	20065
1453	53331	20026
1454	53372	19991
1455	53411	19956
1456	53443	19917
1457	53486	19883
1458	53520	19845
1459	53551	19806
1460	53582	19767
1461	53624	19733
1462	53662	19696
1463	53692	19657
1464	53731	19622
1465	53772	19587
1466	53810	19550
1467	53855	19517
1468	53887	19478
1469	53920	19440
1470	53955	19403
1471	53992	19366
1472	54023	19328
1473	54051	19288
1474	54065	19243
1475	54093	19204
1476	54124	19165
1477	54151	19125
1478	54179	19085
1479	54205	19045
1480	54234	19005
1481	54262	18966
1482	54289	18926
1483	54318	18887
1484	54345	18846
1485	54374	18807
1486	54401	18767
1487	54427	18727
1488	54455	18688
1489	54484	18649
1490	54513	18609
1491	54541	18570
1492	54571	18531
1493	54601	18492
1494	54628	18453
1495	54655	18413
1496	54683	18373
1497	54711	18334
1498	54738	18294
1499	54768	18256
1500	54801	18218
1501	54846	18184
1502	54879	18146
1503	54906	18107
1504	54934	18068
1505	54971	18031
1506	55009	17995
1507	55046	17959
1508	55074	17920
1509	55102	17880
1510	55131	17842
1511	55162	17803
1512	55189	17764
1513	55218	17725
1514	55245	17685
1515	55272	17646
1516	55300	17607
1517	55328	17567
1518	55355	17528
1519	55387	17490
1520	55422	17453
1521	55461	17418
1522	55497	17381
1523	55532	17344
1524	55583	17312
1525	55615	17275
1526	55648	17237
1527	55682	17200
1528	55715	17162
1529	55757	17128
1530	55787	17089
1531	55815	17050
1532	55843	17011
1533	55872	16972
1534	55900	16933
1535	55927	16894
1536	55955	16855
1537	55981	16816
1538	56009	16777
1539	56036	16738
1540	56065	16699
1541	56094	16661
1542	56125	16623
1543	56157	16585
1544	56185	16546
1545	56217	16508
1546	56249	16471
1547	56284	16434
1548	56320	16398
1549	56349	16359
1550	56377	16320
1551	56404	16281
1552	56431	16242
1553	56461	16204
1554	56488	16165
1555	56516	16126
1556	56542	16087
1557	56573	16049
1558	56601	16011
1559	56630	15972
1560	56662	15935
1561	56691	15896
1562	56719	15858
1563	56750	15820
1564	56776	15781
1565	56804	15742
1566	56830	15703
1567	56859	15665
1568	56885	15626
1569	56913	15587
1570	56951	15552
1571	56980	15513
1572	57019	15478
1573	57054	15441
1574	57081	15402
1575	57111	15365
1576	57138	15326
1577	57167	15288
1578	57194	15249
1579	57222	15211
1580	57251	15172
1581	57277	15134
1582	57305	15095
1583	57333	15057
1584	57366	15020
1585	57410	14985
1586	57445	14949
1587	57471	14910
1588	57499	14872
1589	57526	14833
1590	57555	14795
1591	57582	14757
1592	57609	14718
1593	57635	14680
1594	57663	14641
1595	57692	14603
1596	57718	14565
1597	57752	14528
1598	57791	14493
1599	57825	14456
1600	57856	14418
1601	57884	14380
1602	57918	14344
1603	57965	14310
1604	58008	14276
1605	58040	14239
1606	58073	14202
1607	58103	14164
1608	58130	14126
1609	58164	14089
1610	58207	14055
1611	58254	14021
1612	58298	13987
1613	58332	13950
1614	58360	13912
1615	58394	13875
1616	58435	13840
1617	58489	13808
1618	58531	13774
1619	58562	13736
1620	58592	13699
1621	58623	13661
1622	58660	13626
1623	58701	13590
1624	58732	13553
1625	58760	13515
1626	58787	13477
1627	58815	13439
1628	58845	13401
1629	58872	13363
1630	58900	13325
1631	58928	13287
1632	58955	13249
1633	58982	13211
1634	59009	13173
1635	59038	13135
1636	59065	13097
1637	59092	13059
1638	59118	13021
1639	59148	12983
1640	59182	12947
1641	59216	12910
1642	59255	12875
1643	59292	12839
1644	59324	12802
1645	59367	12767
1646	59403	12731
1647	59431	12694
1648	59459	12656
1649	59487	12618
1650	59516	12581
1651	59555	12545
1652	59594	12510
1653	59629	12473
1654	59658	12436
1655	59686	12398
1656	59723	12362
1657	59756	12326
1658	59795	12290
1659	59834	12255
1660	59861	12217
1661	59891	12180
1662	59931	12144
