date,real_price_gold
1971-05-11,326.8662
1971-05-12,328.8838
1971-05-13,332.1122
1971-05-14,335.3405
1971-05-17,331.3051
1971-05-18,332.5157
1971-05-19,330.498
1971-05-20,334.5334
1971-05-21,332.9192
1971-05-24,331.7086
1971-05-25,333.3228
1971-05-26,332.1122
1971-05-27,331.7086
1971-05-28,332.1122
1971-06-01,327.1747
1971-06-02,327.6553
1971-06-03,325.252
1971-06-04,325.252
1971-06-07,326.4537
1971-06-08,321.8473
1971-06-09,322.0475
1971-06-10,320.8459
1971-06-11,319.6442
1971-06-14,319.2437
1971-06-15,319.6442
1971-06-16,322.8487
1971-06-17,321.647
1971-06-18,322.0475
1971-06-21,322.4481
1971-06-22,323.6498
1971-06-23,325.252
1971-06-24,325.6526
1971-06-25,323.6498
1971-06-28,322.4481
1971-06-29,322.0475
1971-06-30,323.6498
1971-07-01,324.0533
1971-07-02,324.8524
1971-07-05,322.0554
1971-07-06,324.4529
1971-07-07,324.0533
1971-07-08,321.8556
1971-07-09,323.6537
1971-07-12,324.8524
1971-07-13,324.4529
1971-07-14,322.455
1971-07-15,325.252
1971-07-16,327.6494
1971-07-19,330.0469
1971-07-20,329.2477
1971-07-21,331.2456
1971-07-22,336.0405
1971-07-23,335.6409
1971-07-26,336.0405
1971-07-27,337.6387
1971-07-28,338.8375
1971-07-29,340.4358
1971-07-30,341.2349
1971-08-02,339.9999
1971-08-03,339.6014
1971-08-04,341.9929
1971-08-05,343.9859
1971-08-06,341.9929
1971-08-09,352.7549
1971-08-10,347.1746
1971-08-11,344.7831
1971-08-12,347.5732
1971-08-13,345.5802
1971-08-17,347.1746
1971-08-18,347.9718
1971-08-19,348.3704
1971-08-20,347.9718
1971-08-23,345.1817
1971-08-24,347.1746
1971-08-25,343.5873
1971-08-26,337.2098
1971-08-27,330.0351
1971-08-30,332.8253
1971-08-31,326.8464
1971-09-01,330.4337
1971-09-02,332.0281
1971-09-03,335.2168
1971-09-06,332.626
1971-09-07,334.021
1971-09-08,332.8253
1971-09-09,335.6154
1971-09-10,334.8182
1971-09-13,334.4196
1971-09-14,336.014
1971-09-15,337.2098
1971-09-16,339.6014
1971-09-17,338.007
1971-09-20,339.9999
1971-09-21,337.2895
1971-09-22,338.8042
1971-09-23,339.2028
1971-09-24,341.1957
1971-09-27,341.9929
1971-09-28,346.3774
1971-09-29,341.5943
1971-09-30,341.9929
1971-10-01,339.5663
1971-10-04,341.1567
1971-10-05,339.5663
1971-10-06,339.9639
1971-10-07,340.7591
1971-10-08,339.9639
1971-10-11,338.0553
1971-10-12,340.3615
1971-10-13,341.952
1971-10-14,341.1567
1971-10-15,340.7591
1971-10-18,338.4529
1971-10-19,340.3615
1971-10-20,339.9639
1971-10-21,337.777
1971-10-22,340.3615
1971-10-25,338.1746
1971-10-26,337.9758
1971-10-27,337.777
1971-10-28,339.9639
1971-10-29,339.1687
1971-11-01,337.5782
1971-11-02,336.5841
1971-11-03,337.9758
1971-11-04,335.5901
1971-11-05,339.1687
1971-11-08,339.5663
1971-11-09,340.7591
1971-11-10,341.5544
1971-11-11,338.3734
1971-11-12,341.952
1971-11-15,343.1448
1971-11-16,342.7472
1971-11-17,343.1448
1971-11-18,345.5305
1971-11-19,345.1329
1971-11-22,346.3258
1971-11-23,344.0196
1971-11-24,347.9163
1971-11-25,346.127
1971-11-26,345.1329
1971-11-29,349.5067
1971-11-30,346.7234
1971-12-01,347.0146
1971-12-02,348.5973
1971-12-03,348.993
1971-12-06,349.7844
1971-12-07,348.993
1971-12-08,346.2232
1971-12-09,347.806
1971-12-10,348.2017
1971-12-13,347.806
1971-12-14,345.4319
1971-12-15,347.4103
1971-12-16,344.2448
1971-12-17,340.6837
1971-12-20,338.0722
1971-12-21,343.4535
1971-12-22,345.4319
1971-12-23,345.8276
1971-12-28,343.3743
1971-12-29,347.0146
1971-12-30,344.6405
1971-12-31,345.234
1972-01-03,350.5758
1972-01-04,353.7412
1972-01-05,354.9283
1972-01-06,360.4678
1972-01-07,365.2161
1972-01-10,364.4247
1972-01-11,360.4678
1972-01-12,360.8635
1972-01-13,362.0506
1972-01-14,366.0074
1972-01-17,367.9858
1972-01-18,365.2161
1972-01-19,365.6117
1972-01-20,363.2376
1972-01-21,363.2376
1972-01-24,366.4031
1972-01-25,367.5902
1972-01-26,367.9858
1972-01-27,370.7556
1972-01-28,376.6909
1972-01-31,375.5038
1972-02-01,381.167
1972-02-02,389.8299
1972-02-03,380.3795
1972-02-04,372.5041
1972-02-07,377.2293
1972-02-08,381.167
1972-02-09,378.8044
1972-02-10,383.9234
1972-02-11,382.3483
1972-02-14,379.1982
1972-02-15,379.9857
1972-02-16,382.3483
1972-02-17,383.1358
1972-02-18,383.5296
1972-02-21,383.1358
1972-02-22,385.4984
1972-02-23,383.1358
1972-02-24,387.0735
1972-02-25,384.3171
1972-02-28,383.9234
1972-02-29,381.9545
1972-03-01,379.8535
1972-03-02,381.4247
1972-03-03,379.8535
1972-03-06,381.4247
1972-03-07,381.8176
1972-03-08,380.2463
1972-03-09,382.6032
1972-03-10,382.2104
1972-03-13,382.996
1972-03-14,382.6032
1972-03-15,382.2104
1972-03-16,382.6032
1972-03-17,382.3675
1972-03-20,382.6032
1972-03-21,380.482
1972-03-22,382.2104
1972-03-23,380.2463
1972-03-24,379.8535
1972-03-27,381.8176
1972-03-28,379.4607
1972-03-29,382.6032
1972-03-30,382.2104
1972-04-04,381.6813
1972-04-05,379.33
1972-04-06,380.8975
1972-04-07,381.2894
1972-04-10,381.6813
1972-04-11,382.465
1972-04-12,385.6
1972-04-13,385.9918
1972-04-14,389.1268
1972-04-17,389.5187
1972-04-18,389.9105
1972-04-19,389.5187
1972-04-20,389.1268
1972-04-21,388.7349
1972-04-24,389.1268
1972-04-25,388.3431
1972-04-26,386.1878
1972-04-27,389.9105
1972-04-28,391.0861
1972-05-01,396.0099
1972-05-02,393.8598
1972-05-03,396.4009
1972-05-04,396.0099
1972-05-05,401.092
1972-05-08,408.5196
1972-05-09,422.2021
1972-05-10,417.511
1972-05-11,416.7291
1972-05-12,415.9473
1972-05-15,417.511
1972-05-16,429.2388
1972-05-17,426.8932
1972-05-18,446.8306
1972-05-19,448.3943
1972-05-22,450.7399
1972-05-23,451.5217
1972-05-24,448.3943
1972-05-25,448.0034
1972-05-26,455.431
1972-05-30,460.1221
1972-05-31,467.1588
1972-06-01,464.0886
1972-06-02,465.6485
1972-06-05,466.4285
1972-06-06,482.0281
1972-06-07,508.1575
1972-06-08,505.4276
1972-06-09,489.828
1972-06-12,479.6882
1972-06-13,482.8081
1972-06-14,481.2482
1972-06-15,478.1282
1972-06-16,482.0281
1972-06-19,479.6882
1972-06-20,479.2982
1972-06-21,480.0782
1972-06-22,483.5881
1972-06-23,494.1178
1972-06-26,496.8478
1972-06-27,492.1679
1972-06-28,501.5277
1972-06-29,505.4276
1972-06-30,506.5975
1972-07-03,510.7776
1972-07-04,504.5675
1972-07-05,514.2708
1972-07-06,512.3301
1972-07-07,508.837
1972-07-10,511.5539
1972-07-11,508.4488
1972-07-12,507.2844
1972-07-13,505.7319
1972-07-14,506.5082
1972-07-17,510.7776
1972-07-18,510.3895
1972-07-19,503.4032
1972-07-20,509.2251
1972-07-21,506.8963
1972-07-24,508.4488
1972-07-25,510.7776
1972-07-26,512.3301
1972-07-27,516.5995
1972-07-28,531.3484
1972-07-31,532.5128
1972-08-01,538.989
1972-08-02,544.4099
1972-08-03,536.6658
1972-08-04,532.7938
1972-08-07,525.0497
1972-08-08,514.2079
1972-08-09,506.851
1972-08-10,519.2416
1972-08-11,511.1103
1972-08-14,508.7871
1972-08-15,511.4975
1972-08-16,517.3056
1972-08-17,516.9184
1972-08-18,518.08
1972-08-21,519.6288
1972-08-22,522.7264
1972-08-23,521.5648
1972-08-24,523.888
1972-08-25,521.952
1972-08-28,521.5648
1972-08-29,518.4672
1972-08-30,520.016
1972-08-31,517.8864
1972-09-01,516.4631
1972-09-04,516.4631
1972-09-05,519.5534
1972-09-06,519.9397
1972-09-07,520.7122
1972-09-08,518.3945
1972-09-11,521.8711
1972-09-12,518.7808
1972-09-13,519.9397
1972-09-14,518.3945
1972-09-15,507.9648
1972-09-18,475.5169
1972-09-19,498.694
1972-09-20,504.4883
1972-09-21,506.4197
1972-09-22,495.99
1972-09-25,492.8997
1972-09-26,496.3763
1972-09-27,495.2174
1972-09-28,499.8528
1972-09-29,498.3077
1972-10-02,495.5672
1972-10-03,495.1827
