"Date";"Value"
"07/02/2001";0,8471
"07/03/2001";0,8477
"07/05/2001";0,8369
"07/06/2001";0,8469
"07/09/2001";0,8512
"07/10/2001";0,855
"07/11/2001";0,8598
"07/12/2001";0,8536
"07/13/2001";0,8547
"07/16/2001";0,8529
"07/17/2001";0,8588
"07/18/2001";0,8731
"07/19/2001";0,8704
"07/20/2001";0,8714
"07/23/2001";0,8685
"07/24/2001";0,8746
"07/25/2001";0,8803
"07/26/2001";0,878
"07/27/2001";0,8777
"07/30/2001";0,8742
"07/31/2001";0,8756
"08/01/2001";0,881
"08/02/2001";0,8834
"08/03/2001";0,8839
"08/06/2001";0,8816
"08/07/2001";0,8774
"08/08/2001";0,8802
"08/09/2001";0,8921
"08/10/2001";0,893
"08/13/2001";0,8959
"08/14/2001";0,9029
"08/15/2001";0,9148
"08/16/2001";0,9119
"08/17/2001";0,918
"08/20/2001";0,9143
"08/21/2001";0,9176
"08/22/2001";0,9148
"08/23/2001";0,9151
"08/24/2001";0,9137
"08/27/2001";0,9112
"08/28/2001";0,9122
"08/29/2001";0,909
"08/30/2001";0,9161
"08/31/2001";0,9125
"09/04/2001";0,888
"09/05/2001";0,885
"09/06/2001";0,8964
"09/07/2001";0,9071
"09/10/2001";0,8977
"09/11/2001";0,9146
"09/12/2001";0,9069
"09/13/2001";0,9113
"09/14/2001";0,921
"09/17/2001";0,9235
"09/18/2001";0,9273
"09/19/2001";0,9275
"09/20/2001";0,9273
"09/21/2001";0,9147
"09/24/2001";0,9167
"09/25/2001";0,9223
"09/26/2001";0,923
"09/27/2001";0,9178
"09/28/2001";0,9112
"10/01/2001";0,9171
"10/02/2001";0,9188
"10/03/2001";0,9143
"10/04/2001";0,9181
"10/05/2001";0,9181
"10/08/2001";0,921
"10/09/2001";0,9125
"10/10/2001";0,9102
"10/11/2001";0,9021
"10/12/2001";0,911
"10/15/2001";0,9086
"10/16/2001";0,9082
"10/17/2001";0,9035
"10/18/2001";0,9039
"10/19/2001";0,8987
"10/22/2001";0,8919
"10/23/2001";0,8903
"10/24/2001";0,8936
"10/25/2001";0,8923
"10/26/2001";0,893
"10/29/2001";0,9045
"10/30/2001";0,9045
"10/31/2001";0,8996
"11/01/2001";0,9017
"11/02/2001";0,9029
"11/05/2001";0,8978
"11/06/2001";0,8943
"11/07/2001";0,8983
"11/08/2001";0,8923
"11/09/2001";0,8941
"11/12/2001";0,8939
"11/13/2001";0,8802
"11/14/2001";0,8824
"11/15/2001";0,8817
"11/16/2001";0,8842
"11/19/2001";0,8784
"11/20/2001";0,8833
"11/21/2001";0,8783
"11/23/2001";0,8775
"11/26/2001";0,88
"11/27/2001";0,8831
"11/28/2001";0,8877
"11/29/2001";0,8872
"11/30/2001";0,8964
"12/03/2001";0,8913
"12/04/2001";0,8901
"12/05/2001";0,8883
"12/06/2001";0,8948
"12/07/2001";0,8897
"12/10/2001";0,8906
"12/11/2001";0,8927
"12/12/2001";0,8983
"12/13/2001";0,893
"12/14/2001";0,9031
"12/17/2001";0,9019
"12/18/2001";0,9033
"12/19/2001";0,9007
"12/20/2001";0,8997
"12/21/2001";0,8886
"12/24/2001";0,8772
"12/26/2001";0,8802
"12/27/2001";0,8829
"12/28/2001";0,8851
"12/31/2001";0,8898
"01/02/2002";0,9033
"01/03/2002";0,8981
"01/04/2002";0,8943
"01/07/2002";0,8934
"01/08/2002";0,893
"01/09/2002";0,891
"01/10/2002";0,8911
"01/11/2002";0,8922
"01/14/2002";0,8944
"01/15/2002";0,8823
"01/16/2002";0,8821
"01/17/2002";0,8811
"01/18/2002";0,8842
"01/22/2002";0,8861
"01/23/2002";0,8782
"01/24/2002";0,8777
"01/25/2002";0,8659
"01/28/2002";0,8619
"01/29/2002";0,8654
"01/30/2002";0,8611
"01/31/2002";0,8582
"02/01/2002";0,8617
"02/04/2002";0,8702
"02/05/2002";0,8666
"02/06/2002";0,8676
"02/07/2002";0,8703
"02/08/2002";0,8728
"02/11/2002";0,8765
"02/12/2002";0,877
"02/13/2002";0,8712
"02/14/2002";0,8737
"02/15/2002";0,8734
"02/19/2002";0,8766
"02/20/2002";0,8691
"02/21/2002";0,8698
"02/22/2002";0,8756
"02/25/2002";0,8689
"02/26/2002";0,8638
"02/27/2002";0,8654
"02/28/2002";0,8688
"03/01/2002";0,8652
"03/04/2002";0,8694
"03/05/2002";0,8716
"03/06/2002";0,8764
"03/07/2002";0,8814
"03/08/2002";0,8739
"03/11/2002";0,875
"03/12/2002";0,876
"03/13/2002";0,8756
"03/14/2002";0,8824
"03/15/2002";0,8824
"03/18/2002";0,8825
"03/19/2002";0,8823
"03/20/2002";0,8854
"03/21/2002";0,8821
"03/22/2002";0,8772
"03/25/2002";0,8769
"03/26/2002";0,8769
"03/27/2002";0,8724
"03/28/2002";0,8704
"04/01/2002";0,8804
"04/02/2002";0,879
"04/03/2002";0,8808
"04/04/2002";0,8781
"04/05/2002";0,878
"04/08/2002";0,8748
"04/09/2002";0,8804
"04/10/2002";0,8799
"04/11/2002";0,8826
"04/12/2002";0,8791
"04/15/2002";0,8792
"04/16/2002";0,8828
"04/17/2002";0,8904
"04/18/2002";0,891
"04/19/2002";0,8918
"04/22/2002";0,8892
"04/23/2002";0,8885
"04/24/2002";0,8928
"04/25/2002";0,8975
"04/26/2002";0,9019
"04/29/2002";0,9034
"04/30/2002";0,8999
"05/01/2002";0,9056
"05/02/2002";0,9031
"05/03/2002";0,9171
"05/06/2002";0,9178
"05/07/2002";0,9152
"05/08/2002";0,9038
"05/09/2002";0,9092
"05/10/2002";0,9138
"05/13/2002";0,9111
"05/14/2002";0,9024
"05/15/2002";0,9124
"05/16/2002";0,9116
"05/17/2002";0,9204
"05/20/2002";0,9207
"05/21/2002";0,9196
"05/22/2002";0,9255
"05/23/2002";0,9211
"05/24/2002";0,9208
"05/28/2002";0,9283
"05/29/2002";0,9354
"05/30/2002";0,937
"05/31/2002";0,9338
"06/03/2002";0,9404
"06/04/2002";0,9392
"06/05/2002";0,939
"06/06/2002";0,9475
"06/07/2002";0,9433
"06/10/2002";0,9442
"06/11/2002";0,948
"06/12/2002";0,9435
"06/13/2002";0,9431
"06/14/2002";0,9455
"06/17/2002";0,944
"06/18/2002";0,9515
"06/19/2002";0,957
"06/20/2002";0,9649
"06/21/2002";0,9713
"06/24/2002";0,9702
"06/25/2002";0,9792
"06/26/2002";0,9799
"06/27/2002";0,9886
"06/28/2002";0,9916
"07/01/2002";0,9913
"07/02/2002";0,9859
"07/03/2002";0,9801
"07/05/2002";0,9728
"07/08/2002";0,9895
"07/09/2002";0,9933
"07/10/2002";0,9888
"07/11/2002";0,9893
"07/12/2002";0,9912
"07/15/2002";1,0036
"07/16/2002";1,012
"07/17/2002";1,007
"07/18/2002";1,0112
"07/19/2002";1,0117
"07/22/2002";1,0082
"07/23/2002";0,9885
"07/24/2002";0,9951
"07/25/2002";1,0044
"07/26/2002";0,9869
"07/29/2002";0,9806
"07/30/2002";0,9832
"07/31/2002";0,9771
"08/01/2002";0,9844
"08/02/2002";0,9864
"08/05/2002";0,9799
"08/06/2002";0,9662
"08/07/2002";0,9749
"08/08/2002";0,967
"08/09/2002";0,9701
"08/12/2002";0,9787
"08/13/2002";0,984
"08/14/2002";0,9797
"08/15/2002";0,982
"08/16/2002";0,9847
"08/19/2002";0,9762
"08/20/2002";0,9788
"08/21/2002";0,9804
"08/22/2002";0,9688
"08/23/2002";0,973
"08/26/2002";0,9715
"08/27/2002";0,9829
"08/28/2002";0,9791
"08/29/2002";0,9847
"08/30/2002";0,9821
"09/03/2002";0,9969
"09/04/2002";0,9929
"09/05/2002";0,9916
"09/06/2002";0,9816
"09/09/2002";0,9793
"09/10/2002";0,9752
"09/11/2002";0,976
"09/12/2002";0,9818
"09/13/2002";0,9716
"09/16/2002";0,9691
"09/17/2002";0,9743
"09/18/2002";0,9777
"09/19/2002";0,9862
"09/20/2002";0,9819
"09/23/2002";0,9781
"09/24/2002";0,9811
"09/25/2002";0,9762
"09/26/2002";0,976
"09/27/2002";0,9802
"09/30/2002";0,9874
"10/01/2002";0,9825
"10/02/2002";0,9865
"10/03/2002";0,9876
"10/04/2002";0,979
"10/07/2002";0,9832
"10/08/2002";0,9786
"10/09/2002";0,9893
"10/10/2002";0,9862
"10/11/2002";0,9872
"10/14/2002";0,9869
"10/15/2002";0,9815
"10/16/2002";0,9816
"10/17/2002";0,9705
"10/18/2002";0,9717
"10/21/2002";0,9731
"10/22/2002";0,9775
"10/23/2002";0,9763
"10/24/2002";0,9779
"10/25/2002";0,9758
"10/28/2002";0,9845
"10/29/2002";0,983
"10/30/2002";0,9837
"10/31/2002";0,99
"11/01/2002";0,9961
"11/04/2002";0,9979
"11/05/2002";0,9998
"11/06/2002";1,0032
"11/07/2002";1,009
"11/08/2002";1,0137
"11/11/2002";1,0107
"11/12/2002";1,0126
"11/13/2002";1,0081
"11/14/2002";1,0041
"11/15/2002";1,0095
"11/18/2002";1,0088
"11/19/2002";1,0037
"11/20/2002";1,0017
"11/21/2002";1,0018
"11/22/2002";0,9963
"11/25/2002";0,992
"11/26/2002";0,9931
"11/27/2002";0,9903
"11/29/2002";0,9949
"12/02/2002";0,9971
"12/03/2002";0,9964
"12/04/2002";1,0008
"12/05/2002";1,0004
"12/06/2002";1,0095
"12/09/2002";1,0102
"12/10/2002";1,0077
"12/11/2002";1,0084
"12/12/2002";1,0184
"12/13/2002";1,0235
"12/16/2002";1,0225
"12/17/2002";1,028
"12/18/2002";1,027
"12/19/2002";1,0272
"12/20/2002";1,0268
"12/23/2002";1,0262
"12/24/2002";1,03
"12/26/2002";1,0375
"12/27/2002";1,044
"12/30/2002";1,049
"12/31/2002";1,0487
"01/02/2003";1,0353
"01/03/2003";1,0422
"01/06/2003";1,046
"01/07/2003";1,041
"01/08/2003";1,0494
"01/09/2003";1,0487
"01/10/2003";1,058
"01/13/2003";1,0538
"01/14/2003";1,0552
"01/15/2003";1,0562
"01/16/2003";1,0616
"01/17/2003";1,0668
"01/21/2003";1,0727
"01/22/2003";1,0727
"01/23/2003";1,0739
"01/24/2003";1,0831
"01/27/2003";1,0849
"01/28/2003";1,0823
"01/29/2003";1,0841
"01/30/2003";1,0818
"01/31/2003";1,0766
"02/03/2003";1,0782
"02/04/2003";1,0889
"02/05/2003";1,0778
"02/06/2003";1,0825
"02/07/2003";1,0818
"02/10/2003";1,0726
"02/11/2003";1,0735
"02/12/2003";1,0708
"02/13/2003";1,0828
"02/14/2003";1,0789
"02/18/2003";1,0687
"02/19/2003";1,0744
"02/20/2003";1,0823
"02/21/2003";1,0772
"02/24/2003";1,0798
"02/25/2003";1,0763
"02/26/2003";1,0783
"02/27/2003";1,0738
"02/28/2003";1,0804
"03/03/2003";1,0893
"03/04/2003";1,0886
"03/05/2003";1,0962
"03/06/2003";1,0971
"03/07/2003";1,1009
"03/10/2003";1,1057
"03/11/2003";1,1037
"03/12/2003";1,0991
"03/13/2003";1,0769
"03/14/2003";1,0747
"03/17/2003";1,0621
"03/18/2003";1,0634
"03/19/2003";1,0562
"03/20/2003";1,0609
"03/21/2003";1,0522
"03/24/2003";1,0638
"03/25/2003";1,0655
"03/26/2003";1,0692
"03/27/2003";1,0694
"03/28/2003";1,0777
"03/31/2003";1,0915
"04/01/2003";1,0913
"04/02/2003";1,0768
"04/03/2003";1,0759
"04/04/2003";1,0735
"04/07/2003";1,0693
"04/08/2003";1,0706
"04/09/2003";1,0769
"04/10/2003";1,0786
"04/11/2003";1,0754
"04/14/2003";1,0771
"04/15/2003";1,0796
"04/16/2003";1,0912
"04/17/2003";1,0875
"04/21/2003";1,0867
